Error Type,Image,Error Occurrences
FP,Individual_Component\test\test_negative\00000005\item_00005585.pnm,71
FP,Individual_Component\test\test_negative\00000004\item_00004606.pnm,50
FP,Individual_Component\test\test_negative\00000000\item_00000585.pnm,100
FN,Individual_Component\test\test_positive\00000002\item_00002877.pnm,70
FP,Individual_Component\test\test_negative\00000002\item_00002996.pnm,85
FP,Individual_Component\test\test_negative\00000004\item_00004205.pnm,33
FP,Individual_Component\test\test_negative\00000001\item_00001847.pnm,21
FP,Individual_Component\test\test_negative\00000004\item_00004206.pnm,31
FN,Individual_Component\test\test_positive\00000002\item_00002292.pnm,35
FN,Individual_Component\test\test_positive\00000002\item_00002624.pnm,16
FN,Individual_Component\test\test_positive\00000001\item_00001303.pnm,69
FN,Individual_Component\test\test_positive\00000001\item_00001492.pnm,75
FN,Individual_Component\test\test_positive\00000000\item_00000423.pnm,90
FP,Individual_Component\test\test_negative\00000002\item_00002204.pnm,71
FP,Individual_Component\test\test_negative\00000001\item_00001139.pnm,92
FN,Individual_Component\test\test_positive\00000002\item_00002326.pnm,99
FP,Individual_Component\test\test_negative\00000002\item_00002327.pnm,159
FP,Individual_Component\test\test_negative\00000003\item_00003605.pnm,225
FN,Individual_Component\test\test_positive\00000001\item_00001576.pnm,71
FN,Individual_Component\test\test_positive\00000001\item_00001567.pnm,46
FP,Individual_Component\test\test_negative\00000003\item_00003420.pnm,54
FP,Individual_Component\test\test_negative\00000000\item_00000153.pnm,42
FP,Individual_Component\test\test_negative\00000005\item_00005259.pnm,26
FN,Individual_Component\test\test_positive\00000001\item_00001802.pnm,13
FP,Individual_Component\test\test_negative\00000002\item_00002664.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001741.pnm,23
FP,Individual_Component\test\test_negative\00000000\item_00000434.pnm,55
FN,Individual_Component\test\test_positive\00000000\item_00000092.pnm,92
FP,Individual_Component\test\test_negative\00000004\item_00004385.pnm,60
FP,Individual_Component\test\test_negative\00000003\item_00003078.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002954.pnm,16
FP,Individual_Component\test\test_negative\00000004\item_00004420.pnm,84
FN,Individual_Component\test\test_positive\00000001\item_00001541.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005036.pnm,45
FP,Individual_Component\test\test_negative\00000002\item_00002148.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003236.pnm,37
FN,Individual_Component\test\test_positive\00000002\item_00002452.pnm,98
FN,Individual_Component\test\test_positive\00000000\item_00000237.pnm,22
FP,Individual_Component\test\test_negative\00000005\item_00005623.pnm,28
FN,Individual_Component\test\test_positive\00000001\item_00001660.pnm,133
FP,Individual_Component\test\test_negative\00000002\item_00002800.pnm,33
FN,Individual_Component\test\test_positive\00000000\item_00000629.pnm,90
FN,Individual_Component\test\test_positive\00000002\item_00002106.pnm,56
FP,Individual_Component\test\test_negative\00000000\item_00000770.pnm,32
FN,Individual_Component\test\test_positive\00000000\item_00000823.pnm,16
FP,Individual_Component\test\test_negative\00000001\item_00001708.pnm,62
FP,Individual_Component\test\test_negative\00000000\item_00000012.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001825.pnm,12
FP,Individual_Component\test\test_negative\00000004\item_00004367.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002692.pnm,26
FP,Individual_Component\test\test_negative\00000003\item_00003937.pnm,59
FP,Individual_Component\test\test_negative\00000001\item_00001846.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004083.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001531.pnm,13
FP,Individual_Component\test\test_negative\00000005\item_00005188.pnm,34
FP,Individual_Component\test\test_negative\00000005\item_00005712.pnm,23
FN,Individual_Component\test\test_positive\00000001\item_00001010.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000743.pnm,9
FP,Individual_Component\test\test_negative\00000005\item_00005217.pnm,25
FP,Individual_Component\test\test_negative\00000004\item_00004437.pnm,42
FP,Individual_Component\test\test_negative\00000005\item_00005346.pnm,43
FN,Individual_Component\test\test_positive\00000002\item_00002114.pnm,22
FP,Individual_Component\test\test_negative\00000002\item_00002854.pnm,48
FP,Individual_Component\test\test_negative\00000005\item_00005662.pnm,27
FN,Individual_Component\test\test_positive\00000000\item_00000509.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001310.pnm,11
FP,Individual_Component\test\test_negative\00000001\item_00001517.pnm,115
FN,Individual_Component\test\test_positive\00000003\item_00003350.pnm,27
FN,Individual_Component\test\test_positive\00000002\item_00002083.pnm,28
FP,Individual_Component\test\test_negative\00000005\item_00005629.pnm,48
FP,Individual_Component\test\test_negative\00000001\item_00001002.pnm,40
FP,Individual_Component\test\test_negative\00000005\item_00005096.pnm,107
FP,Individual_Component\test\test_negative\00000005\item_00005813.pnm,34
FP,Individual_Component\test\test_negative\00000003\item_00003016.pnm,23
FN,Individual_Component\test\test_positive\00000000\item_00000730.pnm,29
FP,Individual_Component\test\test_negative\00000000\item_00000229.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000940.pnm,29
FP,Individual_Component\test\test_negative\00000002\item_00002367.pnm,30
FP,Individual_Component\test\test_negative\00000002\item_00002556.pnm,43
FP,Individual_Component\test\test_negative\00000000\item_00000535.pnm,87
FN,Individual_Component\test\test_positive\00000001\item_00001569.pnm,18
FP,Individual_Component\test\test_negative\00000002\item_00002040.pnm,12
FP,Individual_Component\test\test_negative\00000003\item_00003924.pnm,71
FP,Individual_Component\test\test_negative\00000005\item_00005306.pnm,19
FN,Individual_Component\test\test_positive\00000000\item_00000682.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000099.pnm,14
FP,Individual_Component\test\test_negative\00000005\item_00005545.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005130.pnm,66
FP,Individual_Component\test\test_negative\00000002\item_00002119.pnm,33
FP,Individual_Component\test\test_negative\00000002\item_00002197.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004091.pnm,89
FN,Individual_Component\test\test_positive\00000001\item_00001794.pnm,27
FN,Individual_Component\test\test_positive\00000000\item_00000833.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000613.pnm,106
FN,Individual_Component\test\test_positive\00000001\item_00001314.pnm,15
FP,Individual_Component\test\test_negative\00000003\item_00003180.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005380.pnm,19
FN,Individual_Component\test\test_positive\00000001\item_00001323.pnm,9
FP,Individual_Component\test\test_negative\00000002\item_00002301.pnm,64
FP,Individual_Component\test\test_negative\00000000\item_00000024.pnm,25
FN,Individual_Component\test\test_positive\00000002\item_00002115.pnm,22
FP,Individual_Component\test\test_negative\00000003\item_00003385.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001396.pnm,30
FN,Individual_Component\test\test_positive\00000002\item_00002006.pnm,116
FN,Individual_Component\test\test_positive\00000001\item_00001053.pnm,40
FN,Individual_Component\test\test_positive\00000000\item_00000332.pnm,50
FP,Individual_Component\test\test_negative\00000002\item_00002191.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005693.pnm,34
FP,Individual_Component\test\test_negative\00000005\item_00005211.pnm,29
FP,Individual_Component\test\test_negative\00000004\item_00004542.pnm,54
FP,Individual_Component\test\test_negative\00000002\item_00002476.pnm,1
FN,Individual_Component\test\test_positive\00000000\item_00000308.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003577.pnm,100
FP,Individual_Component\test\test_negative\00000004\item_00004346.pnm,37
FP,Individual_Component\test\test_negative\00000002\item_00002543.pnm,60
FP,Individual_Component\test\test_negative\00000001\item_00001315.pnm,16
FP,Individual_Component\test\test_negative\00000005\item_00005261.pnm,61
FP,Individual_Component\test\test_negative\00000004\item_00004061.pnm,11
FP,Individual_Component\test\test_negative\00000001\item_00001330.pnm,13
FN,Individual_Component\test\test_positive\00000002\item_00002582.pnm,53
FN,Individual_Component\test\test_positive\00000000\item_00000534.pnm,28
FP,Individual_Component\test\test_negative\00000000\item_00000078.pnm,171
FN,Individual_Component\test\test_positive\00000001\item_00001317.pnm,10
FN,Individual_Component\test\test_positive\00000000\item_00000865.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001041.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001561.pnm,35
FN,Individual_Component\test\test_positive\00000000\item_00000938.pnm,11
FN,Individual_Component\test\test_positive\00000001\item_00001951.pnm,7
FP,Individual_Component\test\test_negative\00000002\item_00002681.pnm,27
FP,Individual_Component\test\test_negative\00000004\item_00004797.pnm,27
FP,Individual_Component\test\test_negative\00000005\item_00005522.pnm,58
FN,Individual_Component\test\test_positive\00000003\item_00003314.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002899.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005138.pnm,14
FN,Individual_Component\test\test_positive\00000000\item_00000208.pnm,22
FN,Individual_Component\test\test_positive\00000001\item_00001174.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004700.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002888.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002296.pnm,14
FN,Individual_Component\test\test_positive\00000001\item_00001375.pnm,17
FN,Individual_Component\test\test_positive\00000000\item_00000293.pnm,78
FN,Individual_Component\test\test_positive\00000001\item_00001634.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001883.pnm,35
FN,Individual_Component\test\test_positive\00000000\item_00000373.pnm,24
FN,Individual_Component\test\test_positive\00000000\item_00000366.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000849.pnm,13
FN,Individual_Component\test\test_positive\00000002\item_00002020.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000838.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003853.pnm,15
FP,Individual_Component\test\test_negative\00000004\item_00004805.pnm,38
FP,Individual_Component\test\test_negative\00000005\item_00005162.pnm,25
FP,Individual_Component\test\test_negative\00000003\item_00003289.pnm,46
FN,Individual_Component\test\test_positive\00000001\item_00001912.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001901.pnm,17
FN,Individual_Component\test\test_positive\00000001\item_00001600.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001232.pnm,16
FN,Individual_Component\test\test_positive\00000002\item_00002486.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001109.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000023.pnm,30
FP,Individual_Component\test\test_negative\00000001\item_00001470.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001173.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003427.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002578.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002363.pnm,63
FP,Individual_Component\test\test_negative\00000003\item_00003787.pnm,21
FN,Individual_Component\test\test_positive\00000001\item_00001825.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002184.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000931.pnm,18
FP,Individual_Component\test\test_negative\00000001\item_00001876.pnm,10
FP,Individual_Component\test\test_negative\00000001\item_00001099.pnm,34
FP,Individual_Component\test\test_negative\00000002\item_00002203.pnm,17
FP,Individual_Component\test\test_negative\00000001\item_00001882.pnm,10
FP,Individual_Component\test\test_negative\00000002\item_00002798.pnm,16
FN,Individual_Component\test\test_positive\00000003\item_00003301.pnm,18
FP,Individual_Component\test\test_negative\00000003\item_00003173.pnm,46
FN,Individual_Component\test\test_positive\00000000\item_00000757.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003093.pnm,70
FP,Individual_Component\test\test_negative\00000001\item_00001310.pnm,20
FP,Individual_Component\test\test_negative\00000003\item_00003821.pnm,122
FN,Individual_Component\test\test_positive\00000002\item_00002937.pnm,31
FP,Individual_Component\test\test_negative\00000004\item_00004145.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001918.pnm,4
FN,Individual_Component\test\test_positive\00000003\item_00003289.pnm,8
FP,Individual_Component\test\test_negative\00000001\item_00001683.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002662.pnm,22
